"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",-1.19648593198115,1.35550093436753,0.459277611494185,-1.52454551050471,-1.43759029638254,2.55341889841391,2.31260067041664
"feb-00",-1.32741674741163,1.32370285954609,0.551203803778682,-1.61528064409116,-1.56184846396726,2.44008392779288,2.3668468887467
"mar-00",-1.37044217117916,1.17661718340159,0.810833184690302,-1.03744110914589,-1.87939711446152,2.22960469663954,2.3668468887467
"abr-00",-1.24915498521381,1.1109063834627,0.494060495061291,-1.09952304265241,-1.81036479913668,2.01103011044184,2.32887453591566
"may-00",-1.11970780508565,1.07589717300658,-0.0165025458701719,-0.855970841972995,-1.60326785316216,2.37532108743801,2.42651772890976
"jun-00",-1.30775857965578,1.0631309508492,0.132566955131715,-0.731806974959961,-1.79655833607171,2.10007901592979,2.33972377958167
"jul-00",-1.09671145789956,0.992251005742296,-0.351908923124418,-0.493030307627205,-1.31333212879783,2.059602240708,2.29090218308462
"ago-00",-1.18127867013228,0.888398180093943,0.111448775823115,-0.387968574000793,-1.40997737025261,1.8815044297321,2.34514840141468
"sep-00",-1.11228962857401,0.743897076533452,0.491576003377927,-0.173069573401311,-1.53423553783732,1.85721836459902,2.31802529224965
"oct-00",-1.07074784010881,0.72643163149606,1.23940800007073,-0.182620640094623,-1.40997737025261,1.80864623433286,2.25292983025358
"nov-00",-1.33112583566746,0.797311576602967,0.891579164399657,-0.898950642092891,-1.21668688734305,1.79245552424414,2.29632680491763
"dic-00",-1.26213679410918,0.769899443136207,0.291574422867061,-0.717480374919995,-1.42378383331758,1.4038784821149,2.03052033510034
"ene-01",-1.30924221495811,0.485361497751241,1.07791604065202,-0.975359175639373,-1.31333212879783,1.33911564176003,1.60197521029289
"feb-01",-1.35004218577214,0.287054292214568,1.11394117006081,-0.765235708386547,-1.47900968557745,1.29054351149387,1.53145512646381
"mar-01",-1.26955497062082,0.231760102993047,0.721391484089169,-1.00878790906596,-1.61707431622713,1.12054105556233,1.3253194968096
"abr-01",-1.27289315005106,0.146547528102092,0.36859366505137,-1.13772730942565,-1.68610663155197,1.32292493167131,1.15173159815341
"may-01",-1.35152582107447,0.123991258278014,-0.0761303462709267,-1.93476382498239,-1.53423553783732,1.52530880778029,1.0432391614933
"jun-01",-1.34781673281865,-0.0092317103704375,0.241884589199766,-1.30487097655858,-1.52042907477235,1.43625990229234,0.934746724833182
"jul-01",-1.31628948264417,-0.0342159120158559,0.651825716954956,-1.04221664249254,-1.35475151799273,1.4038784821149,0.956445212165205
"ago-01",-1.45612210988863,-0.266514163051311,1.52264005197431,-1.29531990986527,-1.57565492703222,1.1853038959172,0.875075884670119
"sep-01",-1.53957659564461,-0.355721077390281,1.72512612416854,-1.44336144361157,-1.61707431622713,0.991015374852581,0.522475465524745
"oct-01",-1.6041147312959,-0.266044240763309,0.517663166053257,-1.62483171078447,-1.25810627653796,0.861489694142833,0.256668995707463
"nov-01",-1.58927837827261,-0.258525484155284,0.512694182686527,-1.94001691166371,-1.42378383331758,0.926252534497707,0.175299668212377
"dic-01",-1.60263109599357,-0.256959076528611,0.176045559590599,-2.32205957939612,-1.52042907477235,1.28244815644951,0.1969981555444
"ene-02",-1.51880570141201,-0.269881939448656,0.238157851674719,-2.35071277947605,-1.43759029638254,1.24197138122772,0.164450424546365
"feb-02",-1.34930036812098,-0.207068993619109,-0.282343155990204,-2.18356911234312,-1.52042907477235,1.13673176565105,0.202422777377406
"mar-02",-1.31295130321393,-0.175114278035,0.277909718608555,-2.75663311394173,-1.68610663155197,1.43625990229234,0.386859919699601
"abr-02",-1.38639125067919,-0.219443613869818,0.0381562711638536,-2.37936597955598,-1.76894540994178,1.37959241698182,0.338038323202549
"may-02",-1.32890038271396,-0.411955111187804,0.71145351735571,-2.42234577967587,-1.65849370542203,1.33911564176003,0.267518239373475
"jun-02",-1.32296584150465,-0.588019328425736,1.53506251039114,-2.22177337911636,-1.56184846396726,1.15292247573976,0.186148911878389
"jul-02",-1.25026771169055,-0.537659323228231,1.61083950673376,-2.25042657919629,-1.47900968557745,0.926252534497707,0.0559579878862504
"ago-02",-1.19574411432998,-0.758757759732982,2.48662282511985,-1.87315944481054,-1.38236444412267,0.610533687767697,-0.0525344487738646
"sep-02",-1.31554766499301,-0.654983254465963,1.4245026304814,-1.39083057679837,-1.24429981347299,0.294814841037687,-0.0742329361058876
"oct-02",-1.32778765623722,-0.530140566620205,0.972325144109013,-1.51976997715806,-0.95436408910866,0.351482326348201,-0.112205288936928
"nov-02",-1.16792595241132,-0.483461619345381,1.11145667837744,-2.39369257959594,-0.95436408910866,0.440531231836153,-0.19899923826502
