"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",-1.31756266399889,1.35550093436753,0.459277611494185,-1.54596902187219,-1.48236032413387,2.55341889841391,2.31260067041664
"feb-00",-1.57955294593051,1.32370285954609,0.551203803778682,-1.64594824351949,-1.62360066164634,2.44008392779288,2.3668468887467
"mar-00",-1.67321314863443,1.17661718340159,0.810833184690302,-1.02112183984026,-1.99227822894079,2.22960469663954,2.3668468887467
"abr-00",-1.41910212523881,1.1109063834627,0.494060495061291,-1.08692937898442,-1.91116288367016,2.01103011044184,2.32887453591566
"may-00",-1.17772891762609,1.07589717300658,-0.0165025458701719,-0.830517507592953,-1.67105221903245,2.37532108743801,2.42651772890976
"jun-00",-1.53809644792083,1.0631309508492,0.132566955131715,-0.701584443846913,-1.89500533316147,2.10007901592979,2.33972377958167
"jul-00",-1.13757655928957,0.992251005742296,-0.351908923124418,-0.456927309252382,-1.34276129303194,2.059602240708,2.29090218308462
"ago-00",-1.28912557546072,0.888398180093943,0.111448775823115,-0.350619010234414,-1.45119782418936,1.8815044297321,2.34514840141468
"sep-00",-1.16469345546394,0.743897076533452,0.491576003377927,-0.135654484137271,-1.59207010025873,1.85721836459902,2.31802529224965
"oct-00",-1.09313688837417,0.72643163149606,1.23940800007073,-0.145138646120182,-1.45119782418936,1.80864623433286,2.25292983025358
"nov-00",-1.5874664510484,0.797311576602967,0.891579164399657,-0.87542649765118,-1.23529481412743,1.79245552424414,2.29632680491763
"dic-00",-1.44489300141528,0.769899443136207,0.291574422867061,-0.686783731774365,-1.46676896958683,1.4038784821149,2.03052033510034
"ene-01",-1.54119717618811,0.485361497751241,1.07791604065202,-0.955622422843405,-1.34276129303194,1.33911564176003,1.60197521029289
"feb-01",-1.6282902561236,0.287054292214568,1.11394117006081,-0.736180458201819,-1.52925616895321,1.29054351149387,1.53145512646381
"mar-01",-1.45977242964522,0.231760102993047,0.721391484089169,-0.990853227117514,-1.68691114805803,1.12054105556233,1.3253194968096
"abr-01",-1.46650231843618,0.146547528102092,0.36859366505137,-1.12758073600032,-1.76652135983051,1.32292493167131,1.15173159815341
"may-01",-1.63152554212069,0.123991258278014,-0.0761303462709267,-2.00377905759769,-1.59207010025873,1.52530880778029,1.0432391614933
"jun-01",-1.62344654505622,-0.0092317103704375,0.241884589199766,-1.30683262792819,-1.57633579939485,1.43625990229234,0.934746724833182
"jul-01",-1.55598774688197,-0.0342159120158559,0.651825716954956,-1.02617298211898,-1.38911429070425,1.4038784821149,0.956445212165205
"ago-01",-1.87300338488316,-0.266514163051311,1.52264005197431,-1.29652755314252,-1.63939703077605,1.1853038959172,0.875075884670119
"sep-01",-2.08752034816732,-0.355721077390281,1.72512612416854,-1.4571156117756,-1.68691114805803,0.991015374852581,0.522475465524745
"oct-01",-2.26966559589085,-0.266044240763309,0.517663166053257,-1.65651405851494,-1.28123420851345,0.861489694142833,0.256668995707463
"nov-01",-2.22638968715993,-0.258525484155284,0.512694182686527,-2.0097398379276,-1.46676896958683,0.926252534497707,0.175299668212377
"dic-01",-2.26529812535399,-0.256959076528611,0.176045559590599,-2.45020561009608,-1.57633579939485,1.28244815644951,0.1969981555444
"ene-02",-2.0320711039184,-0.269881939448656,0.238157851674719,-2.48380643903404,-1.48236032413387,1.24197138122772,0.164450424546365
"feb-02",-1.62667445857952,-0.207068993619109,-0.282343155990204,-2.28892971800218,-1.57633579939485,1.13673176565105,0.202422777377406
"mar-02",-1.54896885152426,-0.175114278035,0.277909718608555,-2.96869769788358,-1.76652135983051,1.43625990229234,0.386859919699601
"abr-02",-1.70900841937791,-0.219443613869818,0.0381562711638536,-2.51748816892231,-1.86275528159904,1.37959241698182,0.338038323202549
"may-02",-1.58271481209146,-0.411955111187804,0.71145351735571,-2.56816330805581,-1.73461393870297,1.33911564176003,0.267518239373475
"jun-02",-1.57009548075528,-0.588019328425736,1.53506251039114,-2.33323423132567,-1.62360066164634,1.15292247573976,0.186148911878389
"jul-02",-1.42130054619858,-0.537659323228231,1.61083950673376,-2.36655494193186,-1.52925616895321,0.926252534497707,0.0559579878862504
"ago-02",-1.31616662343089,-0.758757759732982,2.48662282511985,-1.93406425251473,-1.42011595176039,0.610533687767697,-0.0525344487738646
"sep-02",-1.55442598740844,-0.654983254465963,1.4245026304814,-1.39992150784391,-1.26590154913501,0.294814841037687,-0.0742329361058876
"oct-02",-1.58034297147152,-0.530140566620205,0.972325144109013,-1.54072669901191,-0.948355210824512,0.351482326348201,-0.112205288936928
