Fecha,WTI,JPM_Dollar_Index,BBDXY_Index,DXY_Index,VIX_Index,OPEP_TOTPROD,OPEP_TOTDEM,TBILL_10YR,TBILL_1YR
jul-06,70.26,96.622,1035.39,85.05,12.31,29820,85.3,5.09,5.22
ago-06,62.91,95.465,1045.42,86.03,11.98,29605,84.2,4.88,5.08
sep-06,58.73,97.674,1036.03,85.32,11.1,29370,83.8,4.72,4.97
oct-06,63.13,98.286,1018.32,82.95,10.91,28860,85.6,4.73,5.01
nov-06,61.05,99.317,1027.45,83.65,11.56,28695,86.1,4.60,5.01
dic-06,58.14,98.304,1038.73,84.6,10.42,29970,83.6,4.56,4.94
ene-07,61.79,98.764,1028.41,83.57,15.42,30070,85.6,4.76,5.06
feb-07,65.87,99.997,1020.77,82.93,14.64,29950,85.8,4.72,5.05
mar-07,65.71,102.125,1009.53,81.447,14.22,30325,84.7,4.56,4.92
abr-07,64.01,102.332,1015.68,82.301,13.05,30015,85.2,4.69,4.93
may-07,70.68,103.02,1012.89,81.92,16.23,30035,85.7,4.75,4.91
jun-07,78.21,103.845,999.26,80.77,23.52,30400,85.5,5.10,4.96
jul-07,74.04,102.624,998.76,80.791,23.38,30345,86.2,5.00,4.96
ago-07,81.66,106.019,969.1,77.719,18,30665,85.1,4.67,4.47
sep-07,94.53,108.827,954.41,76.479,18.53,31260,86.2,4.52,4.14
oct-07,88.71,107.996,952.99,76.147,22.87,31700,87.2,4.53,4.10
nov-07,95.98,108.337,958.15,76.695,22.5,32000,86.8,4.15,3.50
dic-07,91.75,108.851,942.06,75.178,26.2,32200,86,4.10,3.26
ene-08,101.84,109.607,924.69,73.714,26.54,32435,88,3.74,2.71
feb-08,101.58,109.334,910.26,71.802,25.61,32425,86.1,3.74,2.05
mar-08,113.46,110.294,917.3,72.509,20.79,31980,86.8,3.51,1.54
abr-08,127.35,110.681,918.7,72.879,17.83,32200,85.7,3.68,1.74
may-08,140,110.194,917.73,72.463,23.95,32590,85.4,3.88,2.06
jun-08,124.08,112.428,923.38,73.227,22.94,32775,86.5,4.10,2.42
jul-08,115.46,108.814,969.8,77.381,20.65,32615,84.5,4.01,2.28
ago-08,100.64,102.457,997.08,79.448,39.39,32250,84.2,3.89,2.18
sep-08,67.81,87.98,1079.19,85.633,59.89,32075,85.8,3.69,1.91
oct-08,54.43,89.717,1096.34,86.517,55.28,31110,83.9,3.81,1.42
nov-08,44.6,91.269,1043,81.308,40,29615,85.5,3.53,1.07
