"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",3.41542896390888,107.071,23.37,26.68,77,6.66,6.12
"feb-00",3.29212628660779,106.665,24.11,26.49,76.1,6.52,6.22
"mar-00",3.24804620216798,104.787,26.2,27.7,73.8,6.26,6.22
"abr-00",3.36764059813331,103.948,23.65,27.57,74.3,5.99,6.15
"may-00",3.48124008933569,103.501,19.54,28.08,75.8,6.44,6.33
"jun-00",3.31163730494951,103.338,20.74,28.34,74.4,6.1,6.17
"jul-00",3.50013732951706,102.433,16.84,28.84,77.9,6.05,6.08
"ago-00",3.42881254869513,101.107,20.57,29.06,77.2,5.83,6.18
"sep-00",3.48737507790321,99.262,23.63,29.51,76.3,5.8,6.13
"oct-00",3.52105234347043,99.039,29.65,29.49,77.2,5.74,6.01
"nov-00",3.28840188751681,99.944,26.85,27.99,78.6,5.72,6.09
"dic-00",3.35550242240003,99.594,22.02,28.37,77.1,5.24,5.6
"ene-01",3.31017798327499,95.961,28.35,27.83,77.9,5.16,4.81
"feb-01",3.26918863874179,93.429,28.64,28.27,76.7,5.1,4.68
"mar-01",3.34849959266171,92.723,25.48,27.76,75.7,4.89,4.3
"abr-01",3.34533224882076,91.635,22.64,27.49,75.2,5.14,3.98
"may-01",3.26766598903763,91.347,19.06,25.821,76.3,5.39,3.78
"jun-01",3.27146827498737,89.646,21.62,27.14,76.4,5.28,3.58
"jul-01",3.30321697330195,89.327,24.92,27.69,77.6,5.24,3.62
"ago-01",3.1540172525197,86.361,31.93,27.16,76,4.97,3.47
"sep-01",3.05305734017326,85.222,33.56,26.85,75.7,4.73,2.82
"oct-01",2.96733279903229,86.367,23.84,26.47,78.3,4.57,2.33
"nov-01",2.98770010185673,86.463,23.8,25.81,77.1,4.65,2.18
"dic-01",2.96938829821439,86.483,21.09,25.01,76.4,5.09,2.22
"ene-02",3.07915388169306,86.318,21.59,24.95,77,5.04,2.16
"feb-02",3.2699490950522,87.12,17.4,25.3,76.4,4.91,2.23
"mar-02",3.30652033472025,87.528,21.91,24.1,75.2,5.28,2.57
"abr-02",3.23119957455703,86.962,19.98,24.89,74.6,5.21,2.48
"may-02",3.29063819109509,84.504,25.4,24.8,75.4,5.16,2.35
"jun-02",3.29657733253205,82.256,32.03,25.22,76.1,4.93,2.2
"jul-02",3.36660593689254,82.899,32.64,25.16,76.7,4.65,1.96
"ago-02",3.41608599415591,80.076,39.69,25.95,77.4,4.26,1.76
"sep-02",3.30395199722332,81.401,31.14,26.96,78.4,3.87,1.72
"oct-02",3.29175447028077,82.995,27.5,26.69,80.5,3.94,1.65
"nov-02",3.44041809481544,83.591,28.62,24.86,80.5,4.05,1.49
"dic-02",3.51184390174922,82.824,31.17,25.66,78.8,4.03,1.45
"ene-03",3.60004824040732,83.206,29.63,27.31,80.9,4.05,1.36
"feb-03",3.43527669531502,83.801,29.15,27.52,77.6,3.9,1.3
"mar-03",3.25037449192757,87.598,21.21,26.7,76.6,3.81,1.24
"abr-03",3.38642209608,87.699,19.47,26.835,76.3,3.96,1.27
"may-03",3.40751074371875,88.087,19.52,26.34,77.8,3.57,1.18
"jun-03",3.41903729979049,87.701,19.49,26.65,78.5,3.33,1.01
