"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"dic-09",72.89,98.537,24.62,29.045,85.4,3.59,0.37
"ene-10",79.66,98.419,19.5,29.235,88.6,3.73,0.35
"feb-10",83.76,100.181,17.59,29.165,87.6,3.69,0.35
"mar-10",86.15,101.334,22.05,29.185,87.2,3.73,0.4
"abr-10",73.97,97.02,32.07,29.387,86,3.85,0.45
"may-10",75.63,96.322,34.54,29.16,90.2,3.42,0.37
"jun-10",78.95,99.145,23.5,29.225,89,3.2,0.32
"jul-10",71.92,98.355,26.05,29.2,89.9,3.01,0.29
"ago-10",79.97,102.709,23.7,28.945,90.6,2.7,0.26
"sep-10",81.43,103.015,21.2,29.13,89.2,2.65,0.26
"oct-10",84.11,100.892,23.54,29.05,90.1,2.54,0.23
"nov-10",91.38,103.341,17.75,29.185,91.8,2.76,0.25
"dic-10",92.19,102.6,19.53,29.395,88,3.29,0.29
"ene-11",96.97,104.028,18.35,29.385,90.5,3.39,0.27
"feb-11",106.72,105.633,17.74,28.522,88.6,3.58,0.29
"mar-11",113.93,108.634,14.75,28.73,87.2,3.41,0.26
"abr-11",102.7,106.844,15.45,28.895,87.1,3.46,0.25
"may-11",95.42,106.905,16.52,29.32,90,3.17,0.19
"jun-11",95.7,107.233,25.25,29.94,89.5,3,0.18
"jul-11",88.81,104.815,31.62,29.978,91.2,3,0.19
"ago-11",79.2,96.341,42.96,30.015,90.4,2.3,0.11
"sep-11",93.19,99.765,29.96,29.965,89.7,1.98,0.1
"oct-11",100.36,95.088,27.8,30.49,90.9,2.15,0.11
"nov-11",98.83,93.345,23.4,30.712,91.6,2.01,0.11
"dic-11",98.48,98.653,19.44,30.79,88.9,1.98,0.12
"ene-12",107.07,100.74,18.43,31.11,91.8,1.97,0.12
"feb-12",103.02,98.439,15.5,31.095,89.2,1.97,0.16
"mar-12",104.87,97.949,17.15,31.565,88.7,2.17,0.19
"abr-12",86.53,91.266,24.06,31.61,89.7,2.05,0.18
"may-12",84.96,93.45,17.08,31.538,91.4,1.8,0.19
"jun-12",88.06,94.479,18.93,31.603,91,1.62,0.19
"jul-12",96.47,94.188,17.47,31.983,92,1.53,0.19
"ago-12",92.19,96.31,15.73,31.719,90.9,1.68,0.18
"sep-12",86.24,95.397,18.6,31.372,92.9,1.72,0.18
"oct-12",88.91,95.179,15.87,31.034,93.3,1.75,0.18
"nov-12",91.82,95.694,18.02,30.482,92.3,1.65,0.18
"dic-12",97.49,96.561,14.28,30.142,92.3,1.72,0.16
"ene-13",92.05,95.783,15.51,30.164,92.5,1.91,0.15
"feb-13",97.23,94.954,12.7,30.294,90.3,1.98,0.16
"mar-13",93.46,95.916,13.52,30.476,91.6,1.96,0.15
"abr-13",91.97,92.104,16.3,30.594,91.3,1.76,0.12
"may-13",96.56,90.575,16.86,30.577,93,1.93,0.12
"jun-13",105.03,89.927,13.45,30.594,93.8,2.3,0.14
"jul-13",107.65,87.625,17.01,30.709,93.3,2.58,0.12
"ago-13",102.33,89.897,16.6,30.253,92.4,2.74,0.13
"sep-13",96.38,90.875,13.75,29.922,93.3,2.81,0.12
"oct-13",92.72,88.87,13.7,29.658,93.8,2.62,0.12
"nov-13",98.42,88.491,13.72,29.919,93.1,2.72,0.12
"dic-13",97.49,85.387,18.41,29.768,91.8,2.9,0.13
"ene-14",102.59,86.445,14,30.29,94.4,2.86,0.12
"feb-14",101.58,87.802,13.88,30.045,91.9,2.71,0.12
"mar-14",99.74,87.723,13.41,29.793,93,2.72,0.13
"abr-14",102.71,88.652,11.4,29.825,91.3,2.71,0.11
"may-14",105.37,88.494,11.57,30.206,94.2,2.56,0.1
"jun-14",98.17,86.919,16.95,30.022,93.6,2.6,0.1
"jul-14",95.96,86.35,11.98,30.402,93.7,2.54,0.11
"ago-14",91.16,83.249,16.31,30.801,93.6,2.42,0.11
"sep-14",80.54,83.535,14.03,30.864,94.3,2.53,0.11
"oct-14",66.15,81.053,13.33,30.241,93.3,2.3,0.1
"nov-14",53.27,77.749,19.2,30.302,95.9,2.33,0.13
"dic-14",48.24,75.505,20.97,30.285,93.4,2.21,0.21
"ene-15",49.76,75.705,13.34,30.428,95.8,1.88,0.2
"feb-15",47.6,73.99,15.29,31.176,94,1.98,0.22
