"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",3.41542896390888,107.071,23.37,3.28391422104742,4.34380542185368,6.66,6.12
"feb-00",3.29212628660779,106.665,24.11,3.27676730328398,4.33204826486764,6.52,6.22
"mar-00",3.24804620216798,104.787,26.2,3.32143241319329,4.30135873160643,6.26,6.22
"abr-00",3.36764059813331,103.948,23.65,3.31672822503571,4.30811095172371,5.99,6.15
"may-00",3.48124008933569,103.501,19.54,3.33505757915761,4.32809829264833,6.44,6.33
"jun-00",3.31163730494951,103.338,20.74,3.34427423426253,4.30945594183905,6.1,6.17
"jul-00",3.50013732951706,102.433,16.84,3.36176331241675,4.3554259528767,6.05,6.08
"ago-00",3.42881254869513,101.107,20.57,3.36936265814214,4.34639945703073,5.83,6.18
"sep-00",3.48737507790321,99.262,23.63,3.38472918895485,4.33467293829041,5.8,6.13
"oct-00",3.52105234347043,99.039,29.65,3.38405122282718,4.34639945703073,5.74,6.01
"nov-00",3.28840188751681,99.944,26.85,3.33184730352736,4.36437169943516,5.72,6.09
"dic-00",3.35550242240003,99.594,22.02,3.34533224882076,4.34510328056928,5.24,5.6
"ene-01",3.31017798327499,95.961,28.35,3.3261145755378,4.3554259528767,5.16,4.81
"feb-01",3.26918863874179,93.429,28.64,3.3418011717055,4.33990170837321,5.1,4.68
"mar-01",3.34849959266171,92.723,25.48,3.3235961356386,4.3267781604434,4.89,4.3
"abr-01",3.34533224882076,91.635,22.64,3.31382230217715,4.32015123095579,5.14,3.98
"may-01",3.26766598903763,91.347,19.06,3.25118811433545,4.33467293829041,5.39,3.78
"jun-01",3.27146827498737,89.646,21.62,3.30100865440672,4.33598269617247,5.28,3.58
"jul-01",3.30321697330195,89.327,24.92,3.32107133718287,4.35156742718917,5.24,3.62
"ago-01",3.1540172525197,86.361,31.93,3.3017453026905,4.33073334028633,4.97,3.47
"sep-01",3.05305734017326,85.222,33.56,3.29026582095487,4.3267781604434,4.73,2.82
"oct-01",2.96733279903229,86.367,23.84,3.27601201623901,4.36054760299676,4.57,2.33
"nov-01",2.98770010185673,86.463,23.8,3.25076201373052,4.34510328056928,4.65,2.18
"dic-01",2.96938829821439,86.483,21.09,3.21927574488953,4.33598269617247,5.09,2.22
"ene-02",3.07915388169306,86.318,21.59,3.21687382219753,4.34380542185368,5.04,2.16
"feb-02",3.2699490950522,87.12,17.4,3.23080439573347,4.33598269617247,4.91,2.23
"mar-02",3.30652033472025,87.528,21.91,3.18221184049661,4.32015123095579,5.28,2.57
"abr-02",3.23119957455703,86.962,19.98,3.2144661163795,4.31214050720972,5.21,2.48
"may-02",3.29063819109509,84.504,25.4,3.21084365317094,4.32280727501391,5.16,2.35
"jun-02",3.29657733253205,82.256,32.03,3.22763733053677,4.33204826486764,4.93,2.2
"jul-02",3.36660593689254,82.899,32.64,3.22525543183224,4.33990170837321,4.65,1.96
"ago-02",3.41608599415591,80.076,39.69,3.2561716096119,4.34898678059568,4.26,1.76
"sep-02",3.30395199722332,81.401,31.14,3.29435428604411,4.36182392735636,3.87,1.72
"oct-02",3.29175447028077,82.995,27.5,3.28428896341643,4.38825718442452,3.94,1.65
"nov-02",3.44041809481544,83.591,28.62,3.21326008608257,4.38825718442452,4.05,1.49
"dic-02",3.51184390174922,82.824,31.17,3.24493335918749,4.36691299686383,4.03,1.45
"ene-03",3.60004824040732,83.206,29.63,3.30725293548561,4.39321382406445,4.05,1.36
"feb-03",3.43527669531502,83.801,29.15,3.31491301306514,4.35156742718917,3.9,1.3
